duration_seconds,epoch,epoch_step,event,global_step,learning_rate,loss_binary,loss_boundary,loss_comp,loss_density,loss_fuse,loss_global,loss_route,loss_total,route_sampled_omega_count,route_valid_q_region_count,route_valid_route_pixel_count,schedule_execute_counterfactual,schedule_lambda_binary,schedule_lambda_route,schedule_route_mode,schedule_route_temperature,timestamp_utc,train_psnr,train_ssim
1.5877603999979328,1,1,train_step,1,9.999999997557273e-05,0.0797782838344574,0.2901931703090668,0.26858794689178467,0.548127293586731,0.2686048150062561,0.26860448718070984,0.0,1.6441177129745483,6,0,0,False,0.0,0.0,soft,1.0,2026-07-28T03:13:51.855696+00:00,11.180710792541504,0.17428793013095856
0.47708110000530723,1,2,train_step,2,9.999999990229092e-05,0.07969904690980911,0.09943360090255737,0.09312283992767334,0.5673688650131226,0.09317221492528915,0.09317121654748917,0.0,0.9462687373161316,6,0,0,False,0.0,0.0,soft,0.99992,2026-07-28T03:13:52.348881+00:00,18.73399543762207,0.08554495126008987
0.5849852999963332,1,3,train_step,3,9.999999978015457e-05,0.07924869656562805,0.24586798250675201,0.2465323954820633,0.6796718835830688,0.24679647386074066,0.24679113924503326,0.0,1.6656599044799805,6,0,0,False,0.0,0.0,soft,0.99984,2026-07-28T03:13:52.942464+00:00,10.851242065429688,0.02638733945786953
0.3936494999943534,1,4,train_step,4,9.999999960916366e-05,0.07960957288742065,0.1665944755077362,0.12996186316013336,0.311564564704895,0.13013161718845367,0.1301281601190567,0.0,0.8683806657791138,6,0,0,False,0.0,0.0,soft,0.99976,2026-07-28T03:13:53.343614+00:00,16.48483657836914,0.17364363372325897
0.35890659999859054,1,5,train_step,5,9.999999938931823e-05,0.07967692613601685,0.1225799098610878,0.12452427297830582,0.7769254446029663,0.12453488260507584,0.12453467398881912,0.0,1.2730991840362549,6,0,0,False,0.0,0.0,soft,0.99968,2026-07-28T03:13:53.705846+00:00,16.27692985534668,0.06816606223583221
0.38272230001166463,1,6,train_step,6,9.999999912061826e-05,0.07939773052930832,0.04782985523343086,0.0572013296186924,0.6605191230773926,0.05711973458528519,0.057121384888887405,0.0,0.8797914385795593,6,0,0,False,0.0,0.0,soft,0.9996,2026-07-28T03:13:54.110196+00:00,23.00377655029297,0.2753767967224121
0.4135838999936823,1,7,train_step,7,9.999999880306374e-05,0.07958211749792099,0.20045776665210724,0.15079127252101898,0.7040131092071533,0.1507929414510727,0.1507928967475891,0.0,1.3568480014801025,6,0,0,False,0.0,0.0,soft,0.99952,2026-07-28T03:13:54.526570+00:00,13.829183578491211,0.04782445356249809
0.4598459999979241,1,8,train_step,8,9.999999843665469e-05,0.07982231676578522,0.12200777232646942,0.10526302456855774,0.18401728570461273,0.10525591671466827,0.10525605827569962,0.0,0.6218000650405884,6,0,0,False,0.0,0.0,soft,0.99944,2026-07-28T03:13:54.998971+00:00,18.243776321411133,0.042300768196582794
0.6466897999926005,1,9,train_step,9,9.999999802139108e-05,0.07939912378787994,0.17702816426753998,0.15175442397594452,0.5814869403839111,0.1519903689622879,0.15198560059070587,0.0,1.2142455577850342,6,0,0,False,0.0,0.0,soft,0.99936,2026-07-28T03:13:55.660221+00:00,14.643874168395996,0.03761012479662895
0.5316490000113845,1,10,train_step,10,9.999999755727293e-05,0.07867506146430969,0.0999700054526329,0.11287748068571091,0.4527183771133423,0.1127004399895668,0.11270400136709213,0.0,0.8909703493118286,6,0,0,False,0.0,0.0,soft,0.99928,2026-07-28T03:13:56.197959+00:00,18.057613372802734,0.17709214985370636
0.4556659999943804,1,11,train_step,11,9.999999704430026e-05,0.07944107055664062,0.1983191817998886,0.15444691479206085,0.5751925706863403,0.1546890139579773,0.15468408167362213,0.0,1.237331748008728,6,0,0,False,0.0,0.0,soft,0.9992,2026-07-28T03:13:56.673186+00:00,14.230917930603027,0.050626810640096664
0.49976959999185055,1,12,train_step,12,9.999999648247304e-05,0.0793846994638443,0.16259966790676117,0.160871222615242,0.4820704758167267,0.16084246337413788,0.16084304451942444,0.0,1.1272268295288086,6,0,0,False,0.0,0.0,soft,0.99912,2026-07-28T03:13:57.180061+00:00,14.551851272583008,0.024115240201354027
0.3638803999929223,1,13,train_step,13,9.999999587179128e-05,0.07940924912691116,0.13246184587478638,0.15041331946849823,0.8345515727996826,0.15026777982711792,0.1502707451581955,0.0,1.417965292930603,6,0,0,False,0.0,0.0,soft,0.99904,2026-07-28T03:13:57.560671+00:00,14.57429313659668,0.06500370800495148
0.358068400004413,1,14,train_step,14,9.999999521225499e-05,0.07933451980352402,0.05966497212648392,0.06476888805627823,0.7760582566261292,0.06469108164310455,0.0646926611661911,0.0,1.0298758745193481,6,0,0,False,0.0,0.0,soft,0.99896,2026-07-28T03:13:57.927237+00:00,20.126052856445312,0.08122283965349197
0.46191370001179166,1,15,train_step,15,9.999999450386416e-05,0.07963098585605621,0.24077610671520233,0.20506268739700317,0.8942579030990601,0.20515047013759613,0.20514865219593048,0.0,1.7503957748413086,6,0,0,False,0.0,0.0,soft,0.99888,2026-07-28T03:13:58.401496+00:00,12.430119514465332,0.10727746784687042
0.40709829999832436,1,16,train_step,16,9.999999374661878e-05,0.07872200012207031,0.03647911176085472,0.05359891429543495,0.40500786900520325,0.05332613363862038,0.053331609815359116,0.0,0.6017436385154724,6,0,0,False,0.0,0.0,soft,0.9988,2026-07-28T03:13:58.822332+00:00,22.598297119140625,0.2578372359275818
0.3858720000134781,1,17,train_step,17,9.999999294051889e-05,0.07915584743022919,0.13932441174983978,0.11638358980417252,0.5455542802810669,0.11629296094179153,0.11629477888345718,0.0,1.0338499546051025,6,0,0,False,0.0,0.0,soft,0.99872,2026-07-28T03:13:59.223434+00:00,15.852252006530762,0.055118754506111145
0.41938229999504983,1,18,train_step,18,9.999999208556445e-05,0.0789923369884491,0.10108841210603714,0.10503844171762466,0.23162244260311127,0.1049840897321701,0.10498518496751785,0.0,0.6477185487747192,6,0,0,False,0.0,0.0,soft,0.99864,2026-07-28T03:13:59.651444+00:00,19.070255279541016,0.2509039044380188
0.3931678000080865,1,19,train_step,19,9.999999118175548e-05,0.07898339629173279,0.20818454027175903,0.20686639845371246,0.4887752830982208,0.20691803097724915,0.20691700279712677,0.0,1.3176612854003906,6,0,0,False,0.0,0.0,soft,0.99856,2026-07-28T03:14:00.059524+00:00,13.192045211791992,0.1513133943080902
0.4046349999989616,1,20,train_step,20,9.999999022909196e-05,0.07857754826545715,0.18300864100456238,0.1860247403383255,0.7006841897964478,0.18607033789157867,0.18606942892074585,0.0,1.4418573379516602,6,0,0,False,0.0,0.0,soft,0.99848,2026-07-28T03:14:00.477648+00:00,13.502446174621582,0.1387874186038971
0.4774867000087397,1,21,train_step,21,9.999998922757392e-05,0.07901062071323395,0.20145705342292786,0.1951826959848404,0.6185804605484009,0.19531363248825073,0.19531099498271942,0.0,1.405844807624817,6,0,0,False,0.0,0.0,soft,0.9984,2026-07-28T03:14:00.964102+00:00,13.328096389770508,0.07486891746520996
0.49443890000111423,1,22,train_step,22,9.999998817720135e-05,0.0793505534529686,0.19303523004055023,0.15829133987426758,0.869459867477417,0.1584211140871048,0.1584184765815735,0.0,1.537626028060913,6,0,0,False,0.0,0.0,soft,0.99832,2026-07-28T03:14:01.467162+00:00,14.625264167785645,0.0904276967048645
